IP地址,端口,TLS,数据中心,地区,城市,网络延迟,下载速度
47.76.222.57,2053,true,HKG,Asia Pacific,Hong Kong,67 ms,22130 kB/s
47.242.36.78,8443,true,HKG,Asia Pacific,Hong Kong,62 ms,21524 kB/s
47.238.40.58,2087,true,HKG,Asia Pacific,Hong Kong,60 ms,16605 kB/s
8.218.142.253,2053,true,HKG,Asia Pacific,Hong Kong,58 ms,16467 kB/s
47.238.35.50,8443,true,HKG,Asia Pacific,Hong Kong,79 ms,14496 kB/s
47.238.43.79,2096,true,HKG,Asia Pacific,Hong Kong,84 ms,12946 kB/s
8.210.100.23,8443,true,HKG,Asia Pacific,Hong Kong,63 ms,12520 kB/s
47.238.43.79,8443,true,HKG,Asia Pacific,Hong Kong,78 ms,12395 kB/s
47.243.234.9,2083,true,HKG,Asia Pacific,Hong Kong,57 ms,11784 kB/s
47.238.40.58,8443,true,HKG,Asia Pacific,Hong Kong,60 ms,11703 kB/s
8.218.142.253,2083,true,HKG,Asia Pacific,Hong Kong,64 ms,11217 kB/s
47.238.40.58,2053,true,HKG,Asia Pacific,Hong Kong,60 ms,11015 kB/s
47.76.222.57,8443,true,HKG,Asia Pacific,Hong Kong,57 ms,10750 kB/s
47.243.234.9,2053,true,HKG,Asia Pacific,Hong Kong,59 ms,10268 kB/s
47.76.222.57,2083,true,HKG,Asia Pacific,Hong Kong,63 ms,8519 kB/s
47.76.32.108,2053,true,HKG,Asia Pacific,Hong Kong,56 ms,8033 kB/s
47.76.189.102,2083,true,HKG,Asia Pacific,Hong Kong,72 ms,7359 kB/s
8.210.34.188,2053,true,HKG,Asia Pacific,Hong Kong,60 ms,7140 kB/s
47.237.95.140,2087,true,SIN,Asia Pacific,Singapore,297 ms,6233 kB/s
47.237.95.146,8443,true,SIN,Asia Pacific,Singapore,290 ms,5989 kB/s
47.76.189.102,2053,true,HKG,Asia Pacific,Hong Kong,61 ms,5912 kB/s
47.245.114.163,2053,true,SIN,Asia Pacific,Singapore,333 ms,5895 kB/s
47.243.234.9,8443,true,HKG,Asia Pacific,Hong Kong,58 ms,5871 kB/s
8.222.237.131,2083,true,SIN,Asia Pacific,Singapore,289 ms,5854 kB/s
8.219.174.142,2083,true,SIN,Asia Pacific,Singapore,283 ms,5744 kB/s
47.236.180.51,2087,true,SIN,Asia Pacific,Singapore,307 ms,5721 kB/s
47.236.180.24,2096,true,SIN,Asia Pacific,Singapore,307 ms,5708 kB/s
47.237.84.173,2087,true,SIN,Asia Pacific,Singapore,281 ms,5698 kB/s
47.237.95.146,2083,true,SIN,Asia Pacific,Singapore,286 ms,5676 kB/s
47.245.102.52,2083,true,SIN,Asia Pacific,Singapore,303 ms,5676 kB/s
47.242.232.14,2087,true,HKG,Asia Pacific,Hong Kong,66 ms,5676 kB/s
8.219.200.145,2053,true,SIN,Asia Pacific,Singapore,294 ms,5637 kB/s
47.236.118.216,2083,true,SIN,Asia Pacific,Singapore,310 ms,5577 kB/s
47.236.169.164,2083,true,SIN,Asia Pacific,Singapore,291 ms,5554 kB/s
